name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
Desaladora de Valdelentisco solar farm,--,,Spain,50.2,pre-construction,,,,37.6264,-1.1704,approximate,Región de Murcia,L100001062781,G100001072118,GEM Global Solar Power Tracker Feb-2026
Desalinizadora de Carboneras solar farm,--,,Spain,27.0,announced,,,,36.8411,-2.458,approximate,Andalucía,L100001005691,G100001006837,GEM Global Solar Power Tracker Feb-2026
Desma solar farm,--,,Spain,32.3,pre-construction,,Green Capital Development III,Capital Energy [100%],42.281,-3.788,approximate,Castilla y León,L100001005115,G100001006036,GEM Global Solar Power Tracker Feb-2026
Dione solar farm,--,,Spain,50.0,pre-construction,,,Solaria,40.6115,-2.4478,approximate,Castilla-La Mancha,L100001005463,G100001006502,GEM Global Solar Power Tracker Feb-2026
Doha Jerez Onda 1 solar farm,--,,Spain,23.1,pre-construction,,,,39.9636,-0.2668,approximate,Comunidad Valenciana,L100001064202,G100001073846,GEM Global Solar Power Tracker Feb-2026
Don Quijote solar farm,--,,Spain,15.3,operating,2008.0,,Avanzalia Energía [100%],39.6111,-2.8124,approximate,Castilla-La Mancha,L100000824490,G100000827644,GEM Global Solar Power Tracker Feb-2026
Don Quijote solar project,--,,Spain,17.8,operating,2017.0,,,39.8934,-5.3172,exact,Castilla-La Mancha,L100001009258,G100001010628,GEM Global Solar Power Tracker Feb-2026
Don Rodrigo solar farm,1,"Don Rodrigo 1 (Phase 1), Don Rodrigo 2 (Phase 2)",Spain,175.0,operating,2018.0,BayWa R.E.,MEAG [100%],37.2209,-5.8679,exact,Andalucía,L100000805715,G100000806577,GEM Global Solar Power Tracker Feb-2026
Don Rodrigo solar farm,2,"Don Rodrigo 1 (Phase 1), Don Rodrigo 2 (Phase 2)",Spain,50.0,operating,2020.0,BayWa R.E.,Talanx Group [100%],37.2209,-5.8679,exact,Andalucía,L100000805715,G100000806579,GEM Global Solar Power Tracker Feb-2026
Don Zenón solar farm,--,Charquillos,Spain,50.0,announced,,,,37.95,-1.1045,approximate,Región de Murcia,L100001007677,G100001008904,GEM Global Solar Power Tracker Feb-2026
Dos Hermanas solar project,--,,Spain,4.3,operating,2025.0,,,37.3053,-5.9847,exact,Andalucía,L100001053259,G100001061053,GEM Global Solar Power Tracker Feb-2026
Dos Hermanos A solar project,--,,Spain,6.5,operating,2017.0,,,37.2514,-5.9352,exact,Andalucía,L100001009246,G100001010616,GEM Global Solar Power Tracker Feb-2026
Draco solar farm (Spain),--,,Spain,45.6,operating,2022.0,,Solaria Energía y Medio Ambiente SA [100%],41.5267,-5.391,approximate,Castilla y León,L100000824491,G100000827645,GEM Global Solar Power Tracker Feb-2026
Driza solar farm,--,,Spain,112.5,pre-construction,,Driza Solar,Mástil Solar SLU [100%],40.2559,-3.3436,approximate,Comunidad de Madrid,L100000824492,G100000827646,GEM Global Solar Power Tracker Feb-2026
Dulcinea Solar solar farm,1,,Spain,30.0,operating,2008.0,Avanzalia Solar,Avanzalia Energía [100%],39.6561,-2.8036,exact,Castilla-La Mancha,L100000805709,G100000806570,GEM Global Solar Power Tracker Feb-2026
Dulcinea solar farm,--,,Spain,95.2,operating,2023.0,Enel Green Power,Enel Green Power SpA [100%],37.5041,-5.7135,approximate,Andalucía,L100000824493,G100000827647,GEM Global Solar Power Tracker Feb-2026
Duquesa solar farm,--,,Spain,23.7,pre-construction,,,,40.0383,-0.2607,exact,Comunidad Valenciana,L100001062409,G100001071678,GEM Global Solar Power Tracker Feb-2026
EGA solar farm,--,Ps Ega,Spain,30.0,operating,2022.0,UTE Aurinka International,UTE Aurinka International SL; Iqony Energies GmbH,37.0785,-2.3081,exact,Andalucía,L100000824495,G100000827650,GEM Global Solar Power Tracker Feb-2026
EKIAN (EVE) solar farm,1,Arasur,Spain,12.0,operating,2020.0,,unknown [1%]; SC Victoriano [35%]; Solar Generation LLC [49%]; SC Versal [15%],42.7024,-2.8968,exact,País Vasco,L100000824496,G100000827651,GEM Global Solar Power Tracker Feb-2026
EKIAN (EVE) solar farm,2,Arasur,Spain,12.0,operating,2020.0,,KREAN (Basque engineering and EPC company part of the Mondragón Corporation); EVE (Basque Energy Agency),42.7024,-2.8968,exact,País Vasco,L100000824496,G100000827652,GEM Global Solar Power Tracker Feb-2026
EKIAN (Iberdrola) solar farm,--,,Spain,100.0,construction,,Iberdrola,,42.7214,-2.9073,approximate,País Vasco,L100000824497,G100000827653,GEM Global Solar Power Tracker Feb-2026
Ebisu solar farm,1,,Spain,111.6,pre-construction,,,Energía Ebisu SL [100%],40.1689,-4.1894,approximate,Castilla-La Mancha,L100000824494,G100000827648,GEM Global Solar Power Tracker Feb-2026
Ebisu solar farm,2,,Spain,164.8,pre-construction,,,Energía Ebisu SL [100%],40.1684,-4.0938,approximate,Castilla-La Mancha,L100000824494,G100000827649,GEM Global Solar Power Tracker Feb-2026
Ebro I solar farm,--,,Spain,52.9,operating,2025.0,,,42.1296,-1.6796,exact,Comunidad Foral de Navarra,L100001063376,G100001072810,GEM Global Solar Power Tracker Feb-2026
